original_filename,new_filename,equipment_name,amount,confidence
01.jpg,masked_01.jpg,,617650,0.9999681896819707
02.jpg,masked_02.jpg,,415000,0.9999242134068071
03.jpg,masked_03.jpg,,325000,0.549781459183694
04.jpg,masked_04.jpg,,300000,0.9986469617662073
05.jpg,masked_05.jpg,,270000,0.9952785987306583
06.jpg,masked_06.jpg,,500000,0.9969547296264791
07.jpg,masked_07.jpg,,330000,0.9983466921064059
08.jpg,masked_08.jpg,,315000,0.9997714180309996
09.jpg,masked_09.jpg,,275000,0.9908803709266885
10.jpg,masked_10.jpg,,270000,0.9946940706519839
