original_filename,new_filename,equipment_name,amount,confidence
01.jpg,masked_01.jpg,,617650,0.9624481533438447
02.jpg,masked_02.jpg,,415000,0.6154844971093545
03.jpg,masked_03.jpg,,325000,0.999563998973043
04.jpg,masked_04.jpg,,300000,0.8440967951258467
05.jpg,masked_05.jpg,,270000,0.9903938130168141
06.jpg,masked_06.jpg,,500000,0.9700608736415274
07.jpg,masked_07.jpg,,330000,0.9879836118199116
08.jpg,masked_08.jpg,,315000,0.8469186080181923
09.jpg,masked_09.jpg,,275000,0.9962210619474023
10.jpg,masked_10.jpg,,270000,0.630968938399055
